,description,link,location,phone,service_name,va_facility
917,"Dedicated to serving Veterans with Cancer and Hematologic disorders, our compassionate patient driven staff offer:",http://www.clarksburg.va.gov/services/Oncology.asp,1st Floor,304-623-3461 Ext. 3404  800-733-0512 Ext. 3404,Oncology,clarksburg
918,"We specialize in the prevention, diagnosis, and treatment of disorders of the bones, joints, ligaments, tendons, muscles and nerves.",http://www.clarksburg.va.gov/services/Orthopedics.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Orthopedics,clarksburg
919,"We treat many conditions of the ears, nose, and throat in the outpatient setting.",http://www.clarksburg.va.gov/services/Otolaryngology.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,"Otolaryngology (Ears, Nose and Throat)",clarksburg
920,"Hospice care is when the focus of care is on comfort rather than cure, creating a plan that honors both the Veteran and/or their familys wishes at the end of life.",http://www.clarksburg.va.gov/services/Palliative_Care.asp,6th Floor,304-623-3461 Ext. 3679  800-733-0512 Ext. 3679,Palliative Care,clarksburg
921,"Our outpatient pharmacy program provides medications, supplies and education to our ambulatory Veterans.",http://www.clarksburg.va.gov/services/pharmacy.asp,1st Floor,800-733-0512 Ext. 2,Pharmacy,clarksburg
922,"The PT Department provides care to Veterans with a wide array of musculoskeletal (i.e. shoulder/knee pain) and neurological (i.e. stroke, spinal cord injuries)...",http://www.clarksburg.va.gov/services/Physical_Therapy.asp,1st Floor,304-623-3461 Ext. 3246  800-733-0512 Ext. 3246,Physical Therapy,clarksburg
923,"We treat many conditions of the foot and ankle including neuromas, cysts, corns, calluses, ingrown toenails, heel pain, flat feet, bunions and hammertoes.",http://www.clarksburg.va.gov/services/Podiatry.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Podiatry,clarksburg
924,"When you enroll to any VA Healthcare Facility, a Primary Care Team will be assigned to coordinate all of the services to meet your health care needs.",http://www.clarksburg.va.gov/services/Primary_Care.asp,1st Floor,304-623-3461  800-733-0512,Primary Care,clarksburg
925,We supply medical equipment that your Primary Care Provider states are medically necessary to improve function and increase independence in your daily...,http://www.clarksburg.va.gov/services/Prosthetics_Department.asp,1st Floor,304-623-3461 Ext. 7695  800-733-0512 Ext. 7695,Prosthetics Department,clarksburg
926,"Our pulmonary specialists provide comprehensive diagnostic, consultative and therapeutic services for patients with illnesses that affect the lungs and breathing.",http://www.clarksburg.va.gov/services/Pulmonology.asp,Clarksburg VAMC,304-623-3461 Ext. 3835  800-733-0512 Ext. 3835,Pulmonology,clarksburg
927,"The Recreation Therapy Department provides assists in reducing depression, stress, and anxiety...",http://www.clarksburg.va.gov/services/Recreational_Therapy.asp,Clarksburg VAMC,304-623-3461 Ext. 3475  800-733-0512 Ext. 3475,Recreational Therapy,clarksburg
928,We have a well established research and development program including studies in...,http://www.clarksburg.va.gov/services/research.asp,2nd Floor,304-623-7617,Research,clarksburg
929,"Rheumatology clinic treats Veterans with all types of arthritis, ranging from common forms of bursitis and tendonitis, osteoarthritis and...",http://www.clarksburg.va.gov/services/Rheumatology.asp,1st Floor,304-623-3461 Ext. 3690  800-733-0512 Ext. 3690,Rheumatology,clarksburg
930,A breakdown of the Specialty Care Service,http://www.clarksburg.va.gov/services/Specialty_Care.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Specialty Care,clarksburg
931,The Speech Pathology Clinic delivers specialized care to the Veteran in need of speech-language or swallowing services.,http://www.clarksburg.va.gov/services/The_Speech_Pathology_Clinic.asp,2nd Floor,304-623-3461 Ext. 3963  800-733-0512 Ext. 3963,Speech Pathology Clinic,clarksburg
932,"Staff and physicians work closely with the spinal cord injured veteran, family members, and significant others to ensure the highest quality of care.",http://www.clarksburg.va.gov/services/Spinal_Cord_Injury.asp,Clarksburg VAMC,304-623-3461 Ext. 3385  800-733-0512 Ext. 3385,Spinal Cord Injury,clarksburg
933,We provide operative care in the following specialties:,http://www.clarksburg.va.gov/services/Surgery.asp,3rd Floor,304-623-3461 Ext. 3318 or 3532  800-733-0512 Ext. 3318 or 3532,Surgery,clarksburg
934,Telehealth reduces or eliminates the need for you to travel to the VA.,http://www.clarksburg.va.gov/services/Telehealth.asp,Clarksburg VAMC,304-623-3461,Telehealth,clarksburg
935,"We treat many urologic conditions including erectile dysfunction, bladder tumors, kidney stones, voiding dysfunction, and prostate cancer.",http://www.clarksburg.va.gov/services/Urology.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Urology,clarksburg
936,Valet parking is available for all Veterans from 6:30am-6:00pm excluding weekends and holidays.,http://www.clarksburg.va.gov/services/Valet.asp,Clarksburg VAMC,304-623-3461 Ext. 3890,Valet Parking,clarksburg
937,We provide endovascular and traditional open vascular procedures to address issues with circulation in blood vessels and arteries in the abdomen and limbs.,http://www.clarksburg.va.gov/services/Vascular.asp,3rd floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Vascular Surgery,clarksburg
938,"Audiology provides hearing tests, hearing aids, cochlear implants, balance and tinnitus management",http://www.cleveland.va.gov/services/Audiology.asp,"10701 East Blvd.126WCleveland, OH 44106",216-791-3800 Ext. 1054,Audiology,cleveland
939,Inpatient rehabilitation program that helps Veterans adjust to sight loss,http://www.cleveland.va.gov/services/Blind_Rehabilitation.asp,"10701 East Blvd.Cleveland, OH 44106",216-791-3800 Ext. 2100,Blind Rehabilitation,cleveland
940,"Services include General Cardiology, Electrophysiology, Heart Failure, Medication Reconciliation, Shared Medical Appointments, Echo, Stress testing, & Cardiac Cath.",http://www.cleveland.va.gov/services/Cardiology_Service.asp,"10701 East Blvd.111G(W)Cleveland, OH 44106",216-791-3800 Ext. 1021  216-421-3066,Cardiology Service,cleveland
941,Outpatient Dental Treatment; Oral & Maxillofacial Surgery; regular cleaning & x-rays; dentures; emergency dental treatment. All treatment is depend on dental eligibility.,http://www.cleveland.va.gov/services/Dental.asp,"10701 East Blvd.160WCleveland, OH 44106",216-791-3800 Ext. 1034,Dental,cleveland
942,Clinical and Surgical diagnosis and treatment of skin diseases.,http://www.cleveland.va.gov/services/Dermatology.asp,"10701 East Blvd.11G(W)Cleveland, OH 44106",216-791-3800 Ext. 1022  216-231-3256,Dermatology,cleveland
943,Diabetes Services provided by the Louis Stokes Cleveland VA Medical Center.,http://www.cleveland.va.gov/services/diabetesmgmt.asp,Louis Stokes Cleveland VA Medical Center,877-838-8262 Ext. 5743  216-791-3800 Ext. 5743,Diabetes Self-Management Education,cleveland
944,Treatment of diabetes and other disorders,http://www.cleveland.va.gov/services/Endocrinology.asp,"10701 East Blvd.111F(W)Cleveland, OH 44106",216-791-3800 Ext. 1023,Endocrinology Service,cleveland
945,"Our Center for Restorative and Transitional Care provides physical medicine and rehabilitation, transitional care, as well as home and community care.",http://www.cleveland.va.gov/services/ecrc.asp,Louis Stokes Cleveland VA Medical Center,877-838-8262  216-791-3800,Extended Care and Rehabilitation,cleveland
946,"Using internet technology, we are increasing access to specialty care for Veterans who live in rural areas.",http://www.cleveland.va.gov/services/scanecho.asp,Louis Stokes Cleveland VA Medical CenterStacey Hirth,877-838-8262  216-791-3800 Ext. 3824,Extension for Community Healthcare Outcomes (ECHO),cleveland
947,Providing quality care for aging and chronically ill Veterans ages 65 and over.,http://www.cleveland.va.gov/services/Geriatrics.asp,"10701 East Blvd.111G(W)Cleveland, OH 44106",216-791-3800 Ext. 1025,Geriatrics,cleveland
948,Benign and malignant hematologic and oncologic (Hem/Onc) disorders.,http://www.cleveland.va.gov/services/Hematology.asp,"10701 East Blvd.111F(W)Cleveland, OH 44106",216-791-3800 Ext. 4825  216-421-3045,Hematology,cleveland
949,The Heroes Harbor Hospice Unit at the Cleveland VAMC provides Veterans with individual end of life comfort and care.,http://www.cleveland.va.gov/services/Hospice.asp,Louis Stokes Cleveland VA Medical CenterUnit 3B,216-791-3800 Ext. 6600,Hospice and Palliative Care,cleveland
950,"Prescriptions may be refilled by mail, phone, or online.",http://www.cleveland.va.gov/services/label.asp,Outpatient Pharmacy,800-379-8387,Label Information,cleveland
951,Our Medical Foster Program places Veterans in need of housing with caregivers.,http://www.cleveland.va.gov/services/Medical_Foster_Care.asp,"Parma Clinic8787 Brookpark RdParma, OH 44129",216-739-7000 Ext. 2325  216-701-9268,Medical Foster Care,cleveland
952,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.cleveland.va.gov/services/mentalhealth.asp,Louis Stokes Cleveland VA Medical Center,877-838-8262 Ext. 1035  216-791-3800 Ext. 1035,Mental Health,cleveland
953,"Veterans, active duty service members and others can access, record and store important health information.",http://www.cleveland.va.gov/services/MyHealthe_Vet.asp,Louis Stokes Cleveland VA Medical Center,216-791-3800 Ext. 6585  216-791-3800 Ext. 3029,My HealtheVet,cleveland
954,"Nephrology is a medical specialty realated to kidney function, and treatment and includes therapies like dialysis.",http://www.cleveland.va.gov/services/Nephrology_Service.asp,"10701 East Blvd.Medicine Service 111K(W)Cleveland, OH 44106",216-791-3800 Ext. 1032  216-231-3470,Nephrology Service,cleveland
955,"Neurology Service treats disorders of the peripheral & central nervous system such as neuropathies, strokes, multiple sclerosis, Parkinsons disease & epilepsy.",http://www.cleveland.va.gov/services/Neurology.asp,"10701 East Blvd.127(W)Cleveland, OH 44106",216-791-3800 Ext. 1031  216-421-3040,Neurology,cleveland
956,Provides Nuclear Imaging and Therapy Services,http://www.cleveland.va.gov/services/Nuclear_Medicine_Service.asp,"10701 East Blvd.115(W)Cleveland, OH 44106",216-791-3800 Ext. 5200,Nuclear Medicine Service,cleveland
957,Nursing and Patient Care Services,http://www.cleveland.va.gov/services/Nursing.asp,"10701 East Blvd.118(W)Cleveland, OH 44106",216-791-3800 Ext. 5100  216-421-3226,Nursing Service / Patient Care Services (PCS),cleveland
958,"Prescriptions may be refilled by mail, phone, or online.",http://www.cleveland.va.gov/services/pharmtact.asp,Louis Stokes Cleveland VA Medical Center,800-379-8387,Outpatient Pharmacies,cleveland
959,"Prescriptions may be refilled by mail, phone, or online.",http://www.cleveland.va.gov/services/index.asp,First floor,800-379-8387,Outpatient Pharmacy,cleveland
960,expert care in the management of complex pain,http://www.cleveland.va.gov/services/Pain_Management_Center.asp,Wade Park Campus10701 East Blvd3A-148,216-791-3800 Ext. 5548,Pain Management Center,cleveland
961,"Accurately & precisely prepares, dispenses medications to inpatients and outpatients, educates medical staff, students and patients about medications & medication therapy",http://www.cleveland.va.gov/services/Pharmacy.asp,"10701 East Blvd.119Cleveland, OH 44106",800-379-8387  216-791-3800 Ext. 1063,Pharmacy,cleveland
962,"Our mission is to provide the highest quality and current rehabilitation treatment, education and resources to assist severely injured and physically challenged Veterans.",http://www.cleveland.va.gov/services/pmr.asp,Louis Stokes Cleveland VA Medical Center,216-791-3800 Ext. 1168  877-838-8262 Ext. 1168,Physical Medicine and Rehabilitation,cleveland
963,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.cleveland.va.gov/services/primary.asp,Louis Stokes Cleveland VA Medical Center,877-838-8262 Ext. 1020  216-791-3800 Ext. 1020,Primary Care,cleveland
964,Provider of prosthetic devices (any device that supports or replaces a body part or function) and sensory aids.,http://www.cleveland.va.gov/services/Prosthetics.asp,"10701 East Blvd.121WCleveland, OH 44106",216-791-3800 Ext. 1036  216-707-5962,Prosthetics and Sensory Aids Service,cleveland
965,"Comprehensive, broad-based outpatient services for the diagnosis, evaluation & treatment of respiratory-related conditions.",http://www.cleveland.va.gov/services/Pulmonary.asp,"10701 East Blvd.111J(W)Cleveland, OH 44106",216-791-3800 Ext. 4754  216-231-3420,"Pulmonary, Critical Care, Allergy & Sleep Medicine",cleveland
966,"Radiology Service provides high quality radiology services to our Veteran patients, staff, and visitors in a friendly, clean and professional environment.",http://www.cleveland.va.gov/services/Radiology.asp,"10701 East Blvd.114WCleveland, OH 44106",216-791-3800 Ext. 1038  216-421-3068,Radiology,cleveland
967,"The Recovery Resource Center is a Psychosocial Rehabilitation and Recovery Center (PRRC) whose aim is to promote recovery, education, and adjustment into communities.",http://www.cleveland.va.gov/services/PRRC.asp,"Louis Stokes Cleveland VA Medical Center Community Resource Services7000 Euclid Avenue, Suite 202Cleveland, Ohio 44103",216-391-0264 Ext. 7772,Recovery Resource Center,cleveland
